"ID","Id","Name","Current_Stock_Level__c","Cost_Price__c","Category__c","Description","STATUS"
"01tdL00000ZL2fNQAT","01tdL00000ZL2fNQAT","Burgundy Formal Shirt","5","1100","Clothing","High Quality 100% Cotton Burgundy Formal Shirt","Item Updated"
"01tdL00000ZL2fOQAT","01tdL00000ZL2fOQAT","Green Formal Shirt","10","1100","Clothing","High Quality 100% Cotton Green Formal Shirt","Item Updated"
"01tdL00000ZL2fPQAT","01tdL00000ZL2fPQAT","Patent Black Oxford Shoes","4","3000","Clothing","Black Premium leather Oxford Shoes","Item Updated"
"01tdL00000ZL2fQQAT","01tdL00000ZL2fQQAT","Blue Oxford Shoes","8","3000","Clothing","Blue Premium leather Oxford Shoes","Item Updated"
"01tdL00000ZL2fRQAT","01tdL00000ZL2fRQAT","Brown Oxford Shoe","3","3000","Clothing","Brown Premium leather Oxford Shoes","Item Updated"
"01tdL00000ZL2fSQAT","01tdL00000ZL2fSQAT","Brown Socks","11","115","Clothing","Brown Premium Bamboo Socks","Item Updated"
"01tdL00000ZL2fTQAT","01tdL00000ZL2fTQAT","Green Socks","15","115","Clothing","Green Premium Bamboo Socks","Item Updated"
"01tdL00000ZL2fUQAT","01tdL00000ZL2fUQAT","Blue Suit","2","7250","Clothing","Blue 100% Wool Super 220 Suit","Item Updated"
"01tdL00000ZL2fVQAT","01tdL00000ZL2fVQAT","Grey Suit","6","7250","Clothing","Grey 100% Wool Super 220 Suit","Item Updated"
"01tdL00000ZL2fWQAT","01tdL00000ZL2fWQAT","Green Silk Tie","7","300","Clothing","Green 100% Silk Tie","Item Updated"
"01tdL00000ZL2fXQAT","01tdL00000ZL2fXQAT","Maroon Silk Tie","9","300","Clothing","Maroon 100% Silk Tie","Item Updated"
"01tdL00000ZL2fYQAT","01tdL00000ZL2fYQAT","Navy Silk Tie","5","300","Clothing","Navy 100% Silk Tie","Item Updated"
